,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6094,0.0,50.0,0.0,0.3905
split 1,0.0,50.0,0.0,0.5929,0.0,50.0,0.0,0.4548
split 2,0.0,50.0,0.0,0.5941,0.0,50.0,0.0,0.4867
split 3,0.0,50.0,0.0,0.572,0.0,50.0,0.0,0.5356
split 4,0.0,50.0,0.0,0.5868,0.0,50.0,0.0,0.5096
split 5,0.0,50.0,0.0,0.6052,0.0,50.0,0.0,0.4204
mean,0.0,50.0,0.0,0.5934,0.0,50.0,0.0,0.4663
std,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0501
