,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,24.75,50.23,0.0,24.02,36.09,27.95,34.49,0.0,49.37,0.5931,19.98,49.67,0.0,10.27,33.45,21.14,33.73,0.0,29.69,0.5423
split 1,17.42,49.94,0.0,2.33,33.51,29.17,33.36,0.0,54.16,0.5931,17.4,49.01,0.0,3.18,32.83,22.41,32.8,0.0,34.43,0.494
split 2,16.8,49.99,0.0,0.39,33.35,22.76,33.34,0.0,34.93,0.5972,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5302
split 3,21.04,50.26,11.7,1.17,34.71,54.05,33.93,48.4,79.81,0.598,21.27,46.35,16.06,1.41,31.57,30.25,32.2,27.65,30.88,0.5084
split 4,20.84,50.45,0.0,12.07,34.91,30.98,33.96,0.0,58.96,0.5886,17.15,49.33,0.0,2.12,32.29,14.36,33.23,0.0,9.86,0.5587
split 5,20.79,50.37,0.0,12.0,34.68,27.56,33.99,0.0,48.7,0.5898,19.16,48.75,0.0,8.72,32.88,21.48,32.96,0.0,31.48,0.5411
mean,20.27,50.21,1.95,8.66,34.54,32.08,33.85,8.07,54.32,0.5933,18.6,48.85,2.68,4.28,32.73,20.13,33.04,4.61,22.72,0.5291
std,2.63,0.18,4.36,8.4,0.92,10.14,0.4,18.04,13.56,0.0035,1.67,1.19,5.99,3.83,0.64,6.12,0.48,10.31,12.98,0.0218
