,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5368,0.0,50.0,0.0,0.4856
split 1,0.0,50.0,0.0,0.5125,0.0,50.0,0.0,0.6094
split 2,0.0,50.0,0.0,0.4689,0.0,50.0,0.0,0.4883
split 3,0.0,50.0,0.0,0.5357,0.0,50.0,0.0,0.505
split 4,0.0,50.0,0.0,0.4726,0.0,50.0,0.0,0.4682
split 5,0.0,50.0,0.0,0.4757,0.0,50.0,0.0,0.4585
mean,0.0,50.0,0.0,0.5004,0.0,50.0,0.0,0.5025
std,0.0,0.0,0.0,0.0292,0.0,0.0,0.0,0.05
