,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,40.09,52.65,28.5,39.12,43.48,47.75,39.46,53.15,50.64,0.6438,32.21,43.5,35.62,17.5,35.24,35.56,33.62,39.79,33.28,0.5218
split 1,40.0,51.08,32.0,36.92,42.55,45.56,39.01,50.22,47.46,0.6301,31.08,45.04,18.68,29.52,35.21,38.57,33.36,45.29,37.07,0.557
split 2,42.03,52.52,41.19,32.37,44.3,46.65,40.71,50.94,48.29,0.6412,30.61,42.17,16.75,32.93,33.57,36.39,34.47,44.43,30.27,0.533
split 3,40.81,51.37,34.21,36.86,43.15,46.2,39.4,51.52,47.69,0.6375,26.15,45.06,19.94,13.45,31.86,30.8,32.72,36.79,22.88,0.5256
split 4,39.2,51.86,30.29,35.45,42.71,48.05,38.3,52.73,53.11,0.6352,32.12,45.17,24.99,26.21,35.27,36.57,34.06,34.76,40.91,0.526
split 5,39.54,50.87,32.69,35.06,42.22,45.56,38.58,51.01,47.11,0.6304,26.67,38.79,24.9,16.33,29.95,30.75,28.93,33.68,29.63,0.5038
mean,40.28,51.73,33.15,35.96,43.07,46.63,39.24,51.59,49.05,0.6364,29.81,43.29,23.48,22.66,33.52,34.77,32.86,39.12,32.34,0.5279
std,0.93,0.68,4.02,2.07,0.68,0.98,0.77,1.03,2.15,0.0051,2.47,2.28,6.23,7.26,2.02,2.97,1.84,4.49,5.74,0.0158
