,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,41.49,49.32,30.72,44.44,43.23,44.97,39.78,48.29,46.84,0.6269,30.11,35.03,16.33,38.97,32.07,30.87,31.76,26.7,34.15,0.4981
split 1,39.77,49.34,30.3,39.66,41.84,43.95,38.58,47.07,46.2,0.6157,31.27,43.06,24.51,26.24,33.97,35.07,32.79,37.59,34.82,0.5448
split 2,39.82,49.9,30.39,39.18,41.95,43.93,39.26,48.38,44.14,0.6258,30.7,41.6,30.8,19.69,32.98,33.63,33.66,30.56,36.66,0.4993
split 3,41.59,48.74,38.66,37.36,42.82,44.91,38.84,47.44,48.45,0.6242,26.79,36.7,25.93,17.73,28.83,28.61,28.88,29.7,27.27,0.4872
split 4,41.44,50.97,30.43,42.92,43.72,46.67,39.61,51.18,49.23,0.6325,27.13,39.16,6.06,36.16,31.37,27.76,33.73,18.77,30.78,0.4979
split 5,40.83,50.69,30.11,41.71,43.08,45.44,39.62,49.27,47.42,0.6234,28.04,38.9,13.92,31.31,30.94,31.24,31.42,32.43,29.85,0.5064
mean,40.82,49.83,31.77,40.88,42.77,44.98,39.28,48.61,47.05,0.6247,29.01,39.08,19.59,28.35,31.69,31.2,32.04,29.29,32.25,0.5056
std,0.77,0.79,3.09,2.39,0.68,0.94,0.44,1.35,1.64,0.005,1.76,2.72,8.32,7.9,1.63,2.57,1.66,5.74,3.23,0.0184
