,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4843,0.0,50.0,0.0,0.4649
split 1,0.0,50.0,0.0,0.5124,0.0,50.0,0.0,0.4922
split 2,0.0,50.0,0.0,0.4968,0.0,50.0,0.0,0.4831
split 3,0.0,50.0,0.0,0.4941,0.0,50.0,0.0,0.5001
split 4,0.0,50.0,0.0,0.5035,0.0,50.0,0.0,0.5345
split 5,0.0,50.0,0.0,0.475,0.0,50.0,0.0,0.5024
mean,0.0,50.0,0.0,0.4944,0.0,50.0,0.0,0.4962
std,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0212
